empresa_de_transporte_marítimo,Nombre ,dirección_empresa,telefono_empresa,Ciudad,tipo_de_empresa
CASTRO BALANTA LHAYS YESSICA,LHAYS YESSICA CASTRO BALANTA,CLL 4 12 04,2411908,Buenaventura,CABOTAJE PUBLICO
CASTRO BALANTA LHAYS YESSICA,LHAYS YESSICA CASTRO BALANTA,CLL 4 12 04,2411908,Buenaventura,CABOTAJE PUBLICO
CAYTRANS PROJECTS SERVICES (AMERICAS) LTD,GUILLERMO MONTOYA OSORIO,AVENIDA DEL FERROCARRIL 1C 119,421 15 81,Santa Marta,INTERNACIONAL PUBLICO
CAZADOR SUBMARINO SA,ROBERTO DANCHER CIRANO,READY LIMITADA,2418032,Buenaventura,INTERNACIONAL PUBLICO
CELEBRITY CRUISES INC,FRANCISCO ULLOA VELA,CALLE 10 # 28-49 PISO 15,2846812,Bogotá,INTERNACIONAL PUBLICO
CEMENTOS DEL CARIBE SA,IVAN DARIO ARTEAGA GARCIA,CALLE 53 # 76-57,3585930,Barranquilla,CABOTAJE PRIVADO
CENEIDA GARCIA HURTADO,CENAIDA GARCIA HURTADO,CALLE 3 # 5A-13,2422971,Buenaventura,INTERNACIONAL PUBLICO
CENEIDA GARCIA HURTADO,CENAIDA GARCIA HURTADO,CALLE 3 # 5A-13,2422971,Buenaventura,CABOTAJE PUBLICO
CENEIDA GARCIA HURTADO,CENAIDA GARCIA HURTADO,CALLE 3 # 5A-13,2422971,Buenaventura,CABOTAJE PUBLICO
CHINA SHIPPING CONTAINER LINES CO LTD,BROOM COLOMBIA S.A.,CL 3 A  3 83 OF 401,(092) 241-1356 /241-1363,Buenaventura,INTERNACIONAL PUBLICO
CICLON D SAS,CARLOS DURANGO ORTEGA,CRA 56 1-462,3156518040,Cartagena,CABOTAJE PUBLICO
CIDO CAR CARRIER SERVICE LTD,KWON HYUK,27TH FLOOR COSCO TOWER 183 QUUENS ROAD HK,852 29076555,Cartagena,INTERNACIONAL PUBLICO
CIPELOG S.A.S. (EX CARGA INTERNACIONAL P LOGISTICA S.A.S. - CIPELOG),NELSON LEONEL PEÑARETE MURCIA,CARRERA 73 # 74-54,4768000,Bogotá,INTERNACIONAL PUBLICO
CIRILO BALAREZO GUEVARA,CIRILO BALAZERO GUEVARA,CALLE 4 # 12-04,2433163,Buenaventura,CABOTAJE PUBLICO
